index,title,link,ww_points,image,calories,summary,Key1,Key2,Key3,Key4,Key5,Key6,Key7,Key8,Key9,Key10,Key11,Key12,Key13
1,Breakfast Burritos,https://www.skinnytaste.com/freezer-breakfast-burritos/,5,https://www.skinnytaste.com/wp-content/uploads/2019/03/Breakfast-Burritos-21-260x390.jpg,261,"These freezer breakfast burritos are stuffed with scrambled eggs, scallions, bell pepper, bacon, and cheese, making them a delicious, protein-packed way to start the day! Freeze them for meal prep so you can have them ready all week long.",,,AF,FM,HF,,KF,,MP,Q,,,
2,Crustless Pumpkin Pie,https://www.skinnytaste.com/crustless-pumpkin-pie/,2,https://www.skinnytaste.com/wp-content/uploads/2024/09/Crustless-Pumpkin-Pies-10-260x390.jpg,124.5,"Skip the crust and make this easy gluten-free, dairy-free crustless pumpkin pie this fall for a cozy night when you crave a pumpkin treat or as a healthier alternative for Thanksgiving.",DF,GF,,,HF,,,,,,V,,
3,Red Curry Salmon,https://www.skinnytaste.com/red-curry-salmon/,6,https://www.skinnytaste.com/wp-content/uploads/2024/09/One-Pan-Red-Curry-Salmon-6-260x390.jpg,349,"Thai-inspired Red Curry Salmon is simmered in an incredibly tasty coconut red curry sauce with bell peppers, garlic and onions.",DF,GF,,,,HP,,,,,,,
4,Free 7 Day Healthy Meal Plan (Sept 23-29),https://www.skinnytaste.com/free-7-day-healthy-meal-plan-sept-23-29/, ,https://www.skinnytaste.com/wp-content/uploads/2024/09/Week_453_Sep-23-Sep-29-260x390.jpg, ,"A free 7-day, flexible weight loss meal plan including breakfast, lunch and dinner ideas and a shopping list. All recipes include macros and Weight Watchers points.",,,,,,,,,,,,,
5,Apple Butter,https://www.skinnytaste.com/apple-butter-recipe/,1,https://www.skinnytaste.com/wp-content/uploads/2024/09/Apple-Butter-7-260x390.jpg,34,"This easy apple butter recipe simmers on the stove, made with apples, cinnamon, nutmeg, and allspice, it smells and tastes like fall!",DF,GF,,,,,KF,,,,V,,
6,Roasted Delicata Squash,https://www.skinnytaste.com/roasted-delicata-squash/,4,https://www.skinnytaste.com/wp-content/uploads/2024/09/Roasted-Delicata-Squash-with-Toasted-Almond-Crumbs-9-260x390.jpg,177,"Roasted Delicata Squash with toasted almonds, sweetened with maple syrup and seasoned with sage and paprika, makes a perfect fall side dish.",DF,GF,,,,,,,,,V,,
7,Apple Bread,https://www.skinnytaste.com/applesauce-nut-bread/,4,https://www.skinnytaste.com/wp-content/uploads/2014/09/Apple-Bread-3-260x390.jpg,124,"Moist cinnamon apple bread recipe made with applesauce, small chunks of fresh apples and walnuts in every bite. It’s so moist and delicious, you won’t believe it’s light!",,,,,,,,,,,V,,
8,Autumn Salad with Pears and Gorgonzola,https://www.skinnytaste.com/autumn-salad-with-pears-and-gorgonzola/,5,https://www.skinnytaste.com/wp-content/uploads/2008/10/Autumn-Salad-with-Pears-and-Gorgonzola-5-260x390.jpg,175,"I love a good salad with lots of texture and flavors, and this Autumn Salad nails it. Sweet pears, honey Dijon dressing, crunchy pecans, and creamy gorgonzola cheese create a delicious fall dish that’s hard to resist.",,GF,,,,,,LC,,Q,V,,
9,Sesame Chicken,https://www.skinnytaste.com/sesame-chicken/,9,https://www.skinnytaste.com/wp-content/uploads/2024/09/Sesame-Chicken-13-260x390.jpg,513,"This lighter Sesame Chicken recipe features chicken breast bites in a sweet, savory, tangy, and slightly spicy sauce topped with sesame seeds and green onions.",DF,GF,,FM,,HP,,,,,,,
10,Bacon in the Oven,https://www.skinnytaste.com/bacon-in-the-oven/,2,https://www.skinnytaste.com/wp-content/uploads/2024/09/Bacon3ways-260x390.png,60,"Whether you’re a fan of tender, crisp, or extra crispy bacon, this simple method of cooking bacon in the oven is easy. There’s no stovetop mess, and it frees up your stove for cooking other breakfast items!",DF,GF,,,,HP,KF,LC,,Q,,W,
